1. Mojsijeva 1,1        U početku stvori Bog nebo i zemlju.
1. Mojsijeva 1,2        A zemlja bješe bez obličja i pusta, i bješe tama nad bezdanom; i duh Božji dizaše se nad vodom.
1. Mojsijeva 1,3        I reče Bog: neka bude svjetlost. I bi svjetlost.
1. Mojsijeva 1,4        I vidje Bog svjetlost da je dobra; i rastavi Bog svjetlost od tame.
1. Mojsijeva 1,5        I svjetlost nazva Bog dan, a tamu nazva noć. I bi veče i bi jutro, dan prvi.
1. Mojsijeva 1,6        Potom reče Bog: neka bude svod posred vode, da rastavlja vodu od vode.
1. Mojsijeva 1,7        I stvori Bog svod, i rastavi vodu pod svodom od vode nad svodom; i bi tako.
1. Mojsijeva 1,8        A svod nazva Bog nebo. I bi veče i bi jutro, dan drugi.
1. Mojsijeva 1,9        Potom reče Bog: neka se sabere voda što je pod nebom na jedno mjesto, i neka se pokaže suho. I bi tako.
1. Mojsijeva 1,10       I suho nazva Bog zemlja, a zborišta vodena nazva mora; i vidje Bog da je dobro.
1. Mojsijeva 1,11       Opet reče Bog: neka pusti zemlja iz sebe travu, bilje, što nosi sjeme, i drvo rodno, koje rađa rod po svojim vrstama, u kojem će biti sjeme njegovo na zemlji. I bi tako.
1. Mojsijeva 1,12       I pusti zemlja iz sebe travu, bilje, što nosi sjeme po svojim vrstama, i drvo, koje rađa rod, u kojem je sjeme njegovo po njegovijem vrstama. I vidje Bog da je dobro.
1. Mojsijeva 1,13       I bi veče i bi jutro, dan treći.
1. Mojsijeva 1,14       Potom reče Bog: neka budu vidjela na svodu nebeskom, da dijele dan i noć, da budu znaci vremenima i danima i godinama;
1. Mojsijeva 1,15       I neka svijetle na svodu nebeskom, da obasjavaju zemlju. I bi tako.
1. Mojsijeva 1,16       I stvori Bog dva vidjela velika: vidjelo veće da upravlja danom, i vidjelo manje da upravlja noću, i zvijezde.
1. Mojsijeva 1,17       I postavi ih Bog na svodu nebeskom da obasjavaju zemlju.
1. Mojsijeva 1,18       I da upravljaju danom i noću, i da dijele svjetlost od tame. I vidje Bog da je dobro.
